ID,Titulo,DOI,Decisao,Motivacao
29,A Real-Time Secure-Based Oil and Gas Supply Chain Management using Blockchain,10.1109/NIGERCON62786.2024.10927207,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[oil and gas, petroleum, crude oil] + IA[predictive analytics] + SCM[supply chain, chain management]"
30,Exploratory Analysis of Machine Learning Methods for Total Organic Carbon Prediction Using Well-Log Data of Kolmani Field,10.1109/ICPRS62101.2024.10677822,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, petroleum, hydrocarbon] + IA[machine learning, random forest, decision tree]"
31,OPERATIONS OPTIMISATION OF A GAS-LIFT COMPRESSION SYSTEM USING A DIGITAL-TWIN APPROACH,10.1115/GT2024-125917,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, petroleum, shale] + IA[recurrent] + SCM[lead time]"
32,Leveraging Large Language Models for Cost Management and Supply Chain Optimization,10.2118/221022-MS,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, petroleum, drilling] + IA[artificial intelligence, machine learning, transfer learning] + SCM[supply chain]"
33,Reliable deep learning framework for the ground penetrating radar data to locate the horizontal variation in levee soil compaction,10.1016/j.engappai.2023.107627,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[petroleum] + IA[machine learning, deep learning, neural network] + SCM[inspection]"
34,An approximated dynamic programming model for the supply vessel fleet sizing problem,10.1016/j.cor.2023.106510,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, petroleum, offshore] + IA[neural network] + SCM[logistics]"
35,A Transformer and LSTM-Based Approach for Blind Well Lithology Prediction,10.3390/sym16050616,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, reservoir] + IA[machine learning, deep learning, random forest]"
36,A Novel Multiagent Collaborative Learning Architecture for Automatic Recognition of Mudstone Rock Facies,10.1109/ACCESS.2024.3507569,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, petroleum, natural gas] + IA[machine learning, random forest, support vector]"
37,Missing log prediction using machine learning perspectives: A case study from upper Assam basin,10.1007/s12145-024-01323-5,Sinalizado,"Tema ausente: SCM/SCRM não explícito, mas termos secundários presentes (score=2). O&G[oil field, reservoir] + IA[machine learning, neural networks, random forest]"
38,Machine Learning Techniques in Enhanced Oil Recovery Screening Using Semisupervised Label Propagation,10.2118/221475-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, petroleum, reservoir] + IA[machine learning, neural networks, random forest]"
39,Spatial classification model of port facilities and energy reserve prediction based on deep learning for port management―A case study of Ningbo,10.1016/j.ocecoaman.2024.107413,Sinalizado,"Intersecção dos 3 temas detectada, porém é case study/piloto/conceitual. Verificar se apresenta contribuição primária. O&G[oil and gas] + IA[machine learning, deep learning, classification model] + SCM[supply chain, logistics, transportation]"
40,The use of machine and deep learning to model the relationship between discomfort temperature and labor productivity loss among petrochemical workers,10.1186/s12889-024-20713-4,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, petrochemical, oil industry] + IA[machine learning, deep learning, random forest]"
41,Novel Adaptive Hidden Markov Model Utilizing Expectation–Maximization Algorithm for Advanced Pipeline Leak Detection,10.3390/modelling5040069,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, hydrocarbon, oil industry] + IA[data mining, logistic regression, naive bayes]"
42,Predicting the Rate of Penetration while Horizontal Drilling through Unconventional Reservoirs Using Artificial Intelligence,10.1021/acsomega.4c08006,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[drilling, hydrocarbon] + IA[artificial intelligence, neural network] + SCM[logistics, cost estimation]"
43,Assessing Sustainability Efforts and Greenwashing in Global Oil and Gas Supply Chain- Natural Language Processing Approach,10.1109/RAIT65068.2025.11089303,Aprovado,Relevante: presença dos 3 temas identificada. O&G[oil and gas] + IA[natural language processing] + SCM[supply chain]
44,Estimating Import Lead Times Using Business Intelligence and Machine Learning Within the CRISP-DM Framework: A Case Study in Oil and Gas Services Industry,10.1109/ACCESS.2025.3584886,Sinalizado,"Intersecção dos 3 temas detectada, porém é case study/piloto/conceitual. Verificar se apresenta contribuição primária. O&G[oil and gas] + IA[machine learning, data mining] + SCM[lead time]"
45,An Efficiency-Uncertainty-Based Consensus Optimization Framework With Dual-Perspective Clustering Analysis for Blockchain Adoption in Supply Chains,10.1109/TEM.2025.3626659,Aprovado,"Alta relevância: interseção clara dos 3 temas. O&G[oil and gas, o&g, o&g] + IA[machine learning, clustering] + SCM[supply chain, scm, chain management]"
46,Trends and Frontiers of Emerging Technologies in Oil and Gas: A Scientometric Perspective,10.1109/JIOT.2025.3631090,Reprovado,Tipo excluído: artigo de revisão/survey/meta-análise identificado no título
47,An Ensemble-Based Automated Workflow for Decline Curve Analysis and Probabilistic Estimated Ultimate Recovery Estimation in Shale Gas Wells,10.2118/230302-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[hydrocarbon, shale] + IA[artificial intelligence, machine learning, k-nearest]"
48,Machine Learning Model for Identifying Drilling Dysfunctions from Surface Data and Bit Failure Forensics,10.2118/228303-PA,Reprovado,Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling] + IA[machine learning]
49,From Archives to Abandonment: Applying Generative AI to Optimize Plug and Abandon Processes in Old Oil Wells,10.30632/PJV66N4-2025a1,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, gas industry, subsurface] + IA[artificial intelligence]"
50,An Artificial Intelligence–Driven Methodology for Predicting Proppant Bed Morphology in Hydraulic Fractures,10.2118/231404-PA,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
51,KA-GAN: Kolmogorov-Arnold Generative Adversarial Networks for Reconstruction of 3D Porous Media,10.2118/230280-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, petroleum engineering] + IA[deep learning, convolutional, gan]"
52,Comparative Analysis of TOC Logging Evaluation Methods Using Machine Learning – A Case Study of the Ordos Basin-Yanchang Formation,10.30632/PJV66N3-2025a4,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[hydrocarbon, shale] + IA[machine learning, deep learning, predictive models]"
53,A Data-Driven Approach for Stylolite Detection,10.2118/214831-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[reservoir] + IA[deep learning, neural network, lstm]"
54,LiOBIA: Object-Based Cuttings Image Analysis for Automated Lithology Evaluation,10.30632/PJV65N4-2024a14,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[subsurface] + IA[machine learning, computer vision, k-nearest] + SCM[quality control]"
55,Reservoir Fluid Data Acquisition Using Advanced Mud-Logging Gas in Shale Reservoirs,10.30632/PJV65N4-2024a2,Reprovado,"Fora do escopo: apenas O&G dos 3 temas identificado. Ausentes: IA, SCM"
56,Novel Machine Learning Modeling Approach for Fatigue Failure of Hydrogen-Transporting Pipelines,10.2118/220931-PA,Aprovado,Relevante: presença dos 3 temas identificada. O&G[natural gas] + IA[machine learning] + SCM[transportation]
57,A General Framework to Describe Drilling Process States,10.2118/212537-PA,Reprovado,Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling] + IA[digital twin]
58,Development of Oilwell Fault Classifiers Using a Wavelet-Based Multivariable Approach in a Modular Architecture,10.2118/221463-PA,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
59,Reservoir Fluid Typing From Standard Mud Gas – A Machine-Learning Approach,10.30632/PJV65N4-2024a5,Reprovado,"Fora do escopo: apenas O&G dos 3 temas identificado. Ausentes: IA, SCM"
60,Optimization of Supercritical CO2 Fracturing Based on Random Forest-Particle Swarm Optimization Model and Pre-existing Fracture Network,10.2118/223585-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, shale, reservoir] + IA[machine learning, random forest, particle swarm]"
61,Real-Time Fluid Identification From Integrating Advanced Mud Gas and Petrophysical Logs,10.30632/PJV65N4-2024a3,Sinalizado,"Tema ausente: IA não explícita, mas termos secundários presentes (score=2). O&G[drilling, wellbore, seismic] + SCM[quality control]"
62,A Machine-Learning Approach to Predict Gas-Oil Ratio Based on Advanced Mud Gas Data,10.30632/PJV65N4-2024a1,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, drilling, shale] + IA[machine learning, predictive model]"
63,Multisource Modeling Method for Petroleum Production Prediction Models: A Case Study of CO2-Flooding Performance,10.2118/223588-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, oilfield, oilfield] + IA[artificial intelligence, deep learning]"
64,Field Validation of a Universally Applicable Condition-Based Maintenance System for Mud Pumps,10.2118/212564-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling, shale] + IA[deep learning]"
65,Deep Learning Method for Improving Rate of Penetration Prediction in Drilling,10.2118/219746-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling] + IA[deep learning, transformer]"
66,Machine learning based approach for transient well test interpretation (Russian),10.24887/0028-2448-2024-4-54-59,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, reservoir, well completion] + IA[machine learning, neural network, convolutional]"
67,Application of Machine Learning and Optimization of Oil Recovery and CO2 Sequestration in the Tight Oil Reservoir,10.2118/219731-PA,Sinalizado,"Tema ausente: SCM/SCRM não explícito, mas termos secundários presentes (score=2). O&G[drilling, hydrocarbon, shale] + IA[machine learning, neural network, particle swarm]"
68,The unified information system of geological and geophysical data is the basis of a multidisciplinary approach to the exploration and production of hydrocarbons (Russian),10.24887/0028-2448-2024-2-8-13,Reprovado,Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[exploration and production] + IA[data mining]
69,A Hybrid Data-Physics Framework for Reservoir Performance Prediction with Application to H2S Production,10.2118/218000-PA,Sinalizado,"Tema ausente: SCM/SCRM não explícito, mas termos secundários presentes (score=2). O&G[oil and gas, oilfield, oilfield] + IA[machine learning]"
70,"Synthetic Graphic Well Log Generation Using an Enhanced Deep Learning Workflow: Imbalanced Multiclass Data, Sample Size, and Scalability Challenges",10.2118/217466-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling, oil field, well log] + IA[artificial intelligence, deep learning, random forest]"
71,Rapid Inference of Reservoir Permeability from Inversion of Traveltime Data Under a Fast Marching Method-Based Deep Learning Framework,10.2118/214385-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[reservoir, subsurface] + IA[deep learning, neural network, cnn]"
72,Heterogeneous Domain Adaptation Framework for Logging Lithofacies Identification,10.2118/218419-PA,Sinalizado,"Tema ausente: SCM/SCRM não explícito, mas termos secundários presentes (score=2). O&G[reservoir] + IA[machine learning, gradient boosting, autoencoder]"
73,Multiparameter Inversion of Reservoirs Based on Deep Learning,10.2118/217437-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, reservoir] + IA[deep learning, neural network, deep neural]"
74,Transfer Learning with Prior Data-Driven Models from Multiple Unconventional Fields,10.2118/214312-PA,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
75,Application of Computer Vision in Machine Learning-Based Diagnosis of Water Production Mechanisms in Oil Wells,10.2118/211804-PA,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
76,CFD Simulations of Two Wind Turbines Operating in Line,10.17736/ijope.2023.jc908,Reprovado,"Fora do escopo: apenas O&G dos 3 temas identificado. Ausentes: IA, SCM"
77,An Insight into the Prediction of Scale Precipitation in Harsh Conditions Using Different Machine Learning Algorithms,10.2118/212846-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, oil production, petroleum engineers] + IA[machine learning, neural network, random forest]"
78,On the Artificial Intelligence for the Sea State Forecast Along the Northern Sea Route,10.17736/ijope.2022.jc870,Sinalizado,"Possível relevância: IA+SCM presentes, verificar aplicabilidade ao contexto O&G. IA[artificial intelligence, machine learning, deep learning] + SCM[logistics]"
79,Assisted Cement Log Interpretation Using Machine Learning,10.2118/209529-PA,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
80,The software system of geotechnical control for solving tasks of geotechnical monitoring in Rosneft Company (Russian),10.24887/0028-2448-2022-12-139-143,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, oil company] + IA[neural network]"
81,A Machine Learning Ship’s Speed Over Ground Prediction Model and Sailing Time Control Strategy,10.17736/ijope.2022.jc876,Sinalizado,"Possível relevância: IA+SCM presentes, verificar aplicabilidade ao contexto O&G. IA[machine learning, gradient boosting, xgboost] + SCM[supply chain, transportation, chain management]"
82,MARS: scenarios monitoring and analysis system (Russian),10.24887/0028-2448-2022-11-42-46,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, reservoir] + IA[machine learning, neural networks, digital twin] + SCM[logistics]"
83,Determining Severity of Lateral and Torsional Downhole Vibrations While Drilling Surface Holes Using Three Machine Learning Techniques,10.2118/209575-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling] + IA[machine learning, predictive models, k-nearest]"
84,Digital reality of oil refining (Russian),10.24887/0028-2448-2021-11-67-71,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[refining, oil refining] + IA[predictive analytics, digital twin]"
85,GeoDIN - Geoscience-Based Deep Interaction Networks for Predicting Flow Dynamics in Reservoir Simulation Models,10.2118/203952-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[petroleum, reservoir, subsurface] + IA[machine learning, neural networks]"
86,Methodological foundations for the implementation of robotic systems in order to improve the efficiency of repairing tubing (Russian),10.24887/0028-2448-2021-9-108-111,Sinalizado,"Possível relevância: IA+SCM presentes, verificar aplicabilidade ao contexto O&G. IA[artificial intelligence] + SCM[logistics]"
87,Fluid Flow and Particle Motion Behaviors During Seabed Nodule Pickup: An Experimental Study,10.17736/ijope.2021.jc803,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
88,Explainable and Interpretable Anomaly Detection Models for Production Data,10.2118/208586-PA,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
89,Optimization of Recovery by Huff ‘n’ Puff Gas Injection in Shale-Oil Reservoirs Using the Climbing-Swarm Derivative-Free Algorithm,10.2118/199028-PA,Reprovado,"Fora do escopo: tema IA ausente. Artigo sobre O&G+SCM sem componente de inteligência artificial. O&G[petroleum, shale, reservoir] + SCM[]"
90,Data quality analysis of the station of geological and technological researches in recognizing losses and kicks to improve the prediction accuracy of neural network algorithms (Russian),10.24887/0028-2448-2020-8-63-67,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, drilling] + IA[artificial intelligence, machine learning, neural network]"
91,Using Machine Learning Methods To Identify Coal Pay Zones from Drilling and Logging-While-Drilling (LWD) Data,10.2118/198288-PA,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[drilling, gas production, well completion] + IA[machine learning, neural network, random forest]"
92,"Multivariate Statistical Appraisal of Regional Susceptibility to Induced Seismicity: Application to the Permian Basin, SW United States",10.1029/2021JB022768,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil and gas, seismic] + IA[machine learning, logistic regression]"
93,Replacing sedentary time or light physical activity with moderate physical activity is associated with a lower prevalence of back pain: a cross-sectional study using isotemporal analysis Isotemporal substitution and LBP prevalence,10.1016/j.bjpt.2024.101123,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
94,Comparison of Novel Optimized Random Forest Technique and Logistic Regression for Credit Card Fraud Detection with Improved Precision,10.47750/pnr.2022.13.S03.082,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
95,Honest calibration assessment for binary outcome predictions,10.1093/biomet/asac068,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
96,A data-driven binary-classification framework for oil fingerprinting analysis,10.1016/j.envres.2021.111454,Reprovado,"Fora do escopo: tema SCM/SCRM ausente. Artigo sobre O&G+IA sem foco em cadeia de suprimentos. O&G[oil spill] + IA[machine learning, random forest, support vector]"
97,Dealing With Stakeholders After Early Failures in a Gas Pipeline in Pristine Jungle,10.1115/1.4044785,Reprovado,"Fora do escopo: apenas O&G dos 3 temas identificado. Ausentes: IA, SCM"
98,Exploring the Factors Influencing Recurrence of Central Serous Chorioretinopathy using Machine Learning,,Reprovado,"Fora do escopo: apenas IA dos 3 temas identificado. Ausentes: O&G, SCM"
99,Landslide risk assessment on the China-Pakistan Economic Corridor (CPEC): a comparative study of quantitative and machine learning approaches,10.1007/s12046-025-02749-3,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas] + IA[machine learning, random forest, gradient boost] + SCM[]"
100,"India ISIN Database, by Nemo",10.5281/ZENODO.14884746,Reprovado,"Fora do escopo: tema IA ausente. Artigo sobre O&G+SCM sem componente de inteligência artificial. O&G[offshore, oilfield, oilfield] + SCM[logistics, warehousing]"
101,Beyond the giants: the hidden role of micro and small enterprises in GVC reconfiguration dynamics,10.1057/s42214-025-00218-6,Aprovado,Relevante: presença dos 3 temas identificada. O&G[offshore] + IA[artificial intelligence] + SCM[sourcing]
102,South Africa in the era of Industry 4.0: An Insightful Investigation,10.1007/s11192-022-04461-z,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil and gas, petrochemical] + IA[clustering] + SCM[logistics]"
103,Improved MOEA/D with local search for solving multi-stage distributed reentrant hybrid flow shop scheduling problem,10.1016/j.eswa.2023.120893,Aprovado,Relevante: presença dos 3 temas identificada. O&G[drilling] + IA[evolutionary algorithm] + SCM[logistics]
104,Towards the design of a smart warehouse management system for spare parts management in the oil and gas sector,10.3389/frsus.2024.1426089,Sinalizado,"Tema ausente: IA não explícita, mas termos secundários presentes (score=2). O&G[oil and gas, gas production] + SCM[supply chain, logistics, inventory]"
105,Research on Key Technologies of Intelligent Industrial Robot System for Bulk Material Transportation,10.1088/1742-6596/1626/1/012082,Reprovado,"Fora do escopo: apenas SCM dos 3 temas identificado. Ausentes: O&G, IA"
106,"A triple-layer based surface complexation model for oil-brine interface in low-salinity waterflooding: Effect of sulphate interaction with carboxylic and basic groups, pH and temperature",10.1016/j.molliq.2024.124730,Aprovado,"Relevante: presença dos 3 temas identificada. O&G[oil recovery, enhanced oil] + IA[optimization algorithm] + SCM[scm]"
